ftv55.atsp;10182;;1747;35;
ftv55.atsp;10021;;1761;38;
ftv55.atsp;10124;;1747;39;
ftv55.atsp;10286;;1750;40;
ftv55.atsp;10077;;1772;39;
ftv55.atsp;10025;;1747;38;
ftv55.atsp;10148;;1747;39;
ftv55.atsp;10129;;1800;41;
ftv55.atsp;10226;;1747;41;
ftv55.atsp;10136;;1725;41;
ftv55.atsp;10020;;1750;40;
ftv55.atsp;10126;;1762;41;
ftv55.atsp;10253;;1755;41;
ftv55.atsp;10096;;1762;41;
ftv55.atsp;10185;;1734;41;
ftv55.atsp;10153;;1762;41;
ftv55.atsp;10198;;1747;41;
ftv55.atsp;10175;;1740;41;
ftv55.atsp;10023;;1747;40;
ftv55.atsp;10105;;1747;41;
