ftv55.atsp;30217;;1679;62;61;
ftv55.atsp;30082;;1731;61;61;
ftv55.atsp;30184;;1742;61;62;
ftv55.atsp;30289;;1713;57;57;
ftv55.atsp;30448;;1740;62;62;
ftv55.atsp;30072;;1716;58;58;
ftv55.atsp;30477;;1742;63;63;
ftv55.atsp;30381;;1742;63;63;
ftv55.atsp;30042;;1713;62;62;
ftv55.atsp;30419;;1723;63;63;
ftv55.atsp;30195;;1725;62;63;
ftv55.atsp;30235;;1679;63;62;
ftv55.atsp;30468;;1731;63;63;
ftv55.atsp;30252;;1716;62;63;
ftv55.atsp;30241;;1725;61;61;
ftv55.atsp;30176;;1731;53;53;
ftv55.atsp;30283;;1723;60;60;
ftv55.atsp;30481;;1747;62;62;
ftv55.atsp;30282;;1716;62;62;
ftv55.atsp;30275;;1703;62;62;
