ftv47.atsp;60023;;1826;335;
ftv47.atsp;60002;;1847;333;
ftv47.atsp;60045;;1834;335;
ftv47.atsp;60082;;1911;334;
ftv47.atsp;60079;;1870;334;
ftv47.atsp;60148;;1889;335;
ftv47.atsp;60047;;1832;334;
ftv47.atsp;60161;;1865;335;
ftv47.atsp;60086;;1860;334;
ftv47.atsp;60056;;1863;334;
ftv47.atsp;60034;;1819;335;
ftv47.atsp;60110;;1861;335;
ftv47.atsp;60072;;2017;331;
ftv47.atsp;60082;;1889;328;
ftv47.atsp;60112;;1870;321;
ftv47.atsp;60024;;1819;324;
ftv47.atsp;60055;;1865;324;
ftv47.atsp;60039;;1863;334;
ftv47.atsp;60006;;1864;335;
ftv47.atsp;60084;;1819;334;
ftv47.atsp;60131;;1860;341;
ftv47.atsp;60083;;1863;341;
ftv47.atsp;60017;;1846;339;
ftv47.atsp;60111;;1822;340;
ftv47.atsp;60058;;1935;340;
ftv47.atsp;60071;;1851;300;
ftv47.atsp;60028;;1879;305;
