ftv64.atsp;30481;;1928;42;42;
ftv64.atsp;30363;;1938;41;41;
ftv64.atsp;30581;;1938;42;42;
ftv64.atsp;30526;;1940;42;42;
ftv64.atsp;30070;;1938;41;41;
ftv64.atsp;30314;;1938;42;41;
ftv64.atsp;30061;;1956;41;41;
ftv64.atsp;30321;;1928;42;41;
ftv64.atsp;30460;;1938;42;42;
ftv64.atsp;30484;;1956;42;42;
ftv64.atsp;30427;;1938;42;42;
ftv64.atsp;30394;;1938;42;41;
ftv64.atsp;30365;;1924;42;42;
ftv64.atsp;30342;;1938;41;42;
ftv64.atsp;30249;;1922;42;41;
ftv64.atsp;30608;;1938;42;42;
ftv64.atsp;30040;;1938;41;41;
ftv64.atsp;30358;;1938;41;42;
ftv64.atsp;30092;;1937;41;41;
ftv64.atsp;30640;;1962;42;42;
