ftv55.atsp;10809;;1679;10;10;10;10;
ftv55.atsp;10824;;1795;10;10;10;10;
ftv55.atsp;10815;;1733;10;10;10;10;
ftv55.atsp;10714;;1686;10;10;10;10;
ftv55.atsp;10861;;1753;10;10;10;10;
ftv55.atsp;10851;;1679;10;10;10;10;
ftv55.atsp;10845;;1752;10;10;10;10;
ftv55.atsp;10864;;1753;10;10;10;10;
ftv55.atsp;10376;;1761;9;9;9;9;
ftv55.atsp;10659;;1788;10;10;10;10;
ftv55.atsp;10652;;1710;10;10;10;10;
ftv55.atsp;10611;;1746;10;10;10;10;
ftv55.atsp;10667;;1762;10;10;10;10;
ftv55.atsp;10623;;1690;10;10;10;10;
ftv55.atsp;10614;;1679;10;10;10;10;
ftv55.atsp;10668;;1771;10;10;10;10;
ftv55.atsp;10649;;1747;10;10;10;10;
ftv55.atsp;10751;;1762;10;10;10;10;
ftv55.atsp;10612;;1762;10;10;10;10;
ftv55.atsp;10749;;1748;10;10;10;10;
