ftv64.atsp;10041;;1983;27;
ftv64.atsp;10208;;1928;27;
ftv64.atsp;10061;;1956;27;
ftv64.atsp;10102;;1960;27;
ftv64.atsp;10049;;1959;27;
ftv64.atsp;10050;;1962;27;
ftv64.atsp;10142;;1983;27;
ftv64.atsp;10005;;1928;27;
ftv64.atsp;10112;;1938;27;
ftv64.atsp;10109;;1962;27;
ftv64.atsp;10056;;1938;27;
ftv64.atsp;10037;;1983;27;
ftv64.atsp;10314;;1938;28;
ftv64.atsp;10213;;1938;27;
ftv64.atsp;10041;;1938;27;
ftv64.atsp;10101;;1938;27;
ftv64.atsp;10118;;1947;27;
ftv64.atsp;10061;;1938;27;
ftv64.atsp;10150;;2032;27;
ftv64.atsp;10344;;1938;28;
