ftv47.atsp;60229;;1834;83;83;83;83;
ftv47.atsp;60333;;1887;83;83;83;83;
ftv47.atsp;60588;;1819;83;83;83;83;
ftv47.atsp;60500;;1860;82;83;83;83;
ftv47.atsp;60517;;1858;83;83;83;83;
ftv47.atsp;60601;;1859;83;83;83;83;
ftv47.atsp;60321;;1871;83;83;83;83;
ftv47.atsp;60325;;1860;83;83;83;83;
ftv47.atsp;60285;;1819;83;83;83;83;
ftv47.atsp;60427;;1853;83;83;83;83;
ftv47.atsp;60336;;1831;83;83;83;83;
ftv47.atsp;60323;;1807;83;83;83;83;
ftv47.atsp;60290;;1840;82;83;83;82;
ftv47.atsp;60284;;1845;83;83;83;83;
ftv47.atsp;60351;;1865;83;83;83;83;
ftv47.atsp;60492;;1864;83;83;83;83;
ftv47.atsp;60309;;1860;83;83;83;83;
ftv47.atsp;60303;;1884;83;83;83;83;
ftv47.atsp;60494;;1819;80;80;80;80;
ftv47.atsp;60323;;1877;82;83;83;82;
