ftv64.atsp;30067;;2019;84;
ftv64.atsp;30134;;1922;84;
ftv64.atsp;30082;;1938;84;
ftv64.atsp;30194;;1938;85;
ftv64.atsp;30130;;1938;84;
ftv64.atsp;30010;;1999;84;
ftv64.atsp;30238;;1983;84;
ftv64.atsp;30111;;1938;83;
ftv64.atsp;30050;;1919;84;
ftv64.atsp;30151;;1938;84;
ftv64.atsp;30310;;1938;85;
ftv64.atsp;30177;;1940;84;
ftv64.atsp;30143;;1938;85;
ftv64.atsp;30106;;1938;83;
ftv64.atsp;30088;;1985;84;
ftv64.atsp;30049;;1938;84;
ftv64.atsp;30214;;1938;84;
ftv64.atsp;30292;;2066;85;
ftv64.atsp;30272;;1940;84;
ftv64.atsp;30126;;1921;85;
